Parent,Child,Domain,Classification,Allegiance,Description
Hades,Melinoe,Ghosts and spirits,Underworld Deity,Malevolent,"The goddess of ghosts, nightmares, and madness who brought terror to mortals in the darkness. Melinoe personified the frightening aspects of the underworld, wandering the earth at night with a retinue of ghosts and restless spirits.\n\nDaughter of Persephone and Zeus (who came to her in the form of Hades), Melinoe was born with one side of her body black and the other white, representing her dual nature as a being of both light and darkness. She led processions of ghosts from the underworld, bringing nightmares and madness to those who encountered her spectral train. Melinoe was invoked in Orphic hymns as a goddess to be propitiated with offerings to keep her terrors at bay. She represented the fear of the dead returning to haunt the living and the psychological torment of guilt and madness, embodying the underworld's power to reach into the mortal realm even in darkness."
Hades,Zagreus,Rebirth,Underworld Deity,Neutral,"The mysterious underworld deity associated with rebirth and Orphic mystery cults. Zagreus represented the cycle of death and resurrection, embodying the promise of renewal after destruction.\n\nIn Orphic tradition, Zagreus was the first-born Dionysus, son of Zeus and Persephone, whom Zeus intended as his successor. The Titans, at Hera's instigation, tore the infant god to pieces and devoured him. However, his heart was saved by Athena, and Zeus used it to create Dionysus anew, swallowing the heart and birthing the god from his thigh. Zagreus's dismemberment and rebirth formed the central mystery of Orphic religion, promising initiates their own resurrection. He represented the agricultural cycle of seed-death and sprouting, the spiritual death of initiation, and the soul's journey through mortality to divine rebirth."
Hades,Macaria,Blessed death,Underworld Deity,Benevolent,"The goddess of blessed death and peaceful passing, offering the promise of a good end to those who lived virtuously. Macaria represented the gentle face of mortality and the hope for a painless transition to the afterlife.\n\nDaughter of Hades and Persephone (or sometimes Heracles and Deianira), Macaria dwelt in the underworld where she welcomed souls who had earned a blessed death through virtue or noble sacrifice. Her name meaning ""blessed"" or ""happy,"" she embodied the Greek concept of the ""good death""—dying peacefully after a full life, or dying heroically for a worthy cause. Macaria offered comfort to the dying and their families, promising that death need not be feared when one had lived well. She represented the underworld's capacity for mercy and the belief that the afterlife held rewards for the righteous, tempering the darkness of Hades with the light of blessed rest."
Hades,Plutus,Wealth,Underworld Deity,Neutral,"The god of wealth born from the underworld, representing the mineral riches hidden beneath the earth. Plutus embodied the treasures that came from the ground—precious metals, gems, and the abundance stored in the earth's depths.\n\nSon of Hades and Persephone (or sometimes Demeter and Iasion), this underworld aspect of Plutus represented the hidden wealth of Hades's realm. His name gave rise to the epithet Plouton (""the Rich One"") applied to Hades himself, acknowledging that the lord of the dead also controlled vast mineral wealth. The earth held both the dead and precious metals, connecting mortality to material riches. Plutus represented the paradox that death's king possessed the greatest wealth, and that the darkest realm contained the most valuable treasures. His presence in the underworld reminded mortals that true riches lay beneath the surface, hidden in the realm of the dead."
Hades,Eumenides,Furies and vengeance,Underworld Deity,Neutral,"The transformed Furies who became ""the Kindly Ones"" after their role in Athens's first murder trial. The Eumenides represented the civilising of primal vengeance into structured justice under law.\n\nOriginally the Erinyes (Furies), these ancient goddesses relentlessly punished blood crimes until Athena established the Areopagus court to try Orestes for matricide. When the court acquitted Orestes through Athena's tie-breaking vote, the Furies threatened to curse Athens. Athena appeased them by offering honoured worship in Athens if they would bless rather than curse the city. They accepted and became the Eumenides, transforming from agents of vengeance to protectors of justice and civic order. The Eumenides represented humanity's evolution from blood feuds to legal justice, demonstrating that even the most terrible forces could be reconciled and integrated into civilised society through respect and proper honour."
Hades,Ascalaphus,Orchards,Underworld Deity,Neutral,"The underworld gardener who witnessed Persephone eating pomegranate seeds and tattled to Hades, ensuring her permanent connection to the realm of the dead. Ascalaphus became infamous as the informer whose testimony bound Persephone to the underworld.\n\nSon of the underworld river Acheron and the nymph Orphne (or Gorgyra), Ascalaphus tended Hades's orchards. When Zeus negotiated Persephone's return to Demeter, the deal required that she had eaten nothing in the underworld. Ascalaphus revealed that he had seen her consume pomegranate seeds, testimony that forced the compromise where Persephone would spend part of each year below. Enraged, Demeter transformed Ascalaphus into a screech owl, a creature associated with ill omen. He represented the consequences of bearing witness to uncomfortable truths and demonstrated that even minor underworld spirits could alter the fate of gods and the rhythm of seasons."
Demeter,Persephone,Spring and the underworld,Olympian,Benevolent,"The goddess of spring, vegetation, and queen of the underworld. Persephone embodied the dual nature of life and death, bringing renewal to the earth while ruling the realm of the dead alongside Hades.\n\nDaughter of Zeus and Demeter, Persephone was abducted by Hades while gathering flowers and taken to the underworld to be his bride. Demeter's grief caused the earth to become barren until Zeus intervened. Because Persephone had eaten pomegranate seeds in the underworld, she was bound to spend part of each year there, creating the cycle of seasons. As queen of the dead, she commanded respect and wielded considerable power, showing compassion to worthy souls and wrath to the wicked. Her annual return to the surface brought spring's renewal, while her descent brought winter's dormancy, making her essential to both agricultural fertility and the mysteries of death and rebirth."
Demeter,Plutus,Wealth,Olympian,Neutral,"The god of agricultural wealth and abundance. Plutus personified the riches that come from bountiful harvests and the earth's fertility.\n\nSon of Demeter and the mortal Iasion, Plutus represented the prosperity that agriculture brings to humanity. Zeus blinded him so that he would distribute wealth indiscriminately, without regard to merit or virtue, explaining why riches sometimes go to the undeserving. In art, Plutus was often depicted as a boy carrying a cornucopia overflowing with grain and fruit. While sometimes confused with Hades (who bore the epithet Plouton, ""the Rich One""), Plutus specifically embodied agricultural abundance rather than mineral wealth. His worship was connected to the Eleusinian Mysteries, where initiates hoped to secure both material prosperity in life and spiritual richness in the afterlife."
Demeter,Despoina,Mysteries of Arcadia,Olympian,Neutral,"The goddess of the Arcadian mysteries, whose very name means 'the Mistress.' Despoina was a powerful but enigmatic deity whose true name was kept secret and known only to initiates of her mystery cult.\n\nDaughter of Demeter and Poseidon, Despoina was born after Poseidon pursued Demeter, who transformed herself into a mare to escape. Poseidon became a stallion and their union produced both Despoina and the immortal horse Arion. Worshipped primarily in Arcadia alongside her mother, Despoina's mysteries were considered second only to the Eleusinian Mysteries in importance. The secrecy surrounding her cult was so absolute that even ancient writers respected the prohibition on revealing her true name. She represented the hidden aspects of divine feminine power and the sacred mysteries that connected life, death, and agricultural fertility in Arcadian religion."
Demeter,Arion,Immortal horse,Monster,Neutral,"The immortal horse born from Demeter's union with Poseidon, possessing the power of speech and supernatural speed. Arion was among the swiftest creatures in existence, surpassing all other horses in races.\n\nBorn when Poseidon pursued Demeter, who transformed into a mare to escape him (but he became a stallion), Arion inherited divine qualities from both parents. The horse could speak with human voice and run faster than the wind. Heracles borrowed Arion during his war against Elis, and later the horse belonged to Adrastus, carrying him to safety when the expedition of the Seven Against Thebes failed catastrophically. Arion represented the offspring of unlikely unions, demonstrating how desperate circumstances could produce remarkable beings, and embodying the fusion of Demeter's earth-power with Poseidon's might."
Demeter,Philomelus,Agriculture,Olympian,Benevolent,"The god of agricultural innovation and the inventor of the wagon and plow. Philomelus represented human ingenuity in harnessing the earth's bounty through technological advancement.\n\nSon of Demeter and the mortal Iasion, Philomelus was born into poverty alongside his wealthy brother Plutus. Rather than envying his brother's riches, Philomelus invented the wagon drawn by oxen and the plow, revolutionising agriculture. His mother Demeter was so pleased with his industriousness and innovation that she placed him among the stars as the constellation Boötes (the Plowman). Philomelus embodied the Greek virtue of making the most of one's circumstances through hard work and cleverness. His story celebrated the dignity of labour and the transformative power of human innovation in agriculture."
Demeter,Eubuleus,Fertility,Olympian,Benevolent,"The god of agricultural fertility and the plowing season. Eubuleus was closely associated with the Eleusinian Mysteries and represented the divine aspect of sowing and cultivation.\n\nA minor but important deity in Demeter's cult, Eubuleus was said to have been a swineherd whose pigs were swallowed by the earth when Hades abducted Persephone, making him a witness to the fateful event. In the Eleusinian Mysteries, Eubuleus symbolised the buried seed that must die in the earth before sprouting into new life, connecting agricultural cycles to spiritual rebirth. His name means ""good counsel"" or ""wise in counsel,"" reflecting his role as a beneficent agricultural deity. Eubuleus was sometimes identified with Dionysus or depicted as an aspect of the chthonic (underworld) mysteries that united death and fertility in the natural cycle."
Demeter,Trophonius,Oracles and prophecy,Olympian,Neutral,"The chthonic deity of oracles and prophecy who presided over an underground oracle in Boeotia. Trophonius represented the mysterious and sometimes terrifying nature of prophetic knowledge drawn from the earth's depths.\n\nOriginally a mortal architect who built Apollo's temple at Delphi with his brother, Trophonius was swallowed by the earth and became an oracular deity. His oracle at Lebadeia required a harrowing ritual descent into an underground chamber, where supplicants experienced visions so terrifying that people emerged pale and shaken, giving rise to the saying ""like one who has consulted Trophonius."" Despite the fearsome experience, his oracle was considered highly accurate and reliable. Trophonius embodied the Greek understanding that true wisdom often comes at the price of confronting darkness and fear, and that the earth itself holds ancient knowledge beyond mortal comprehension."
Hestia,No Children,Hearth and home,Olympian,Benevolent,""
Athena,No Children,Wisdom and warfare,Olympian,Benevolent,""
Apollo,Asclepius,Medicine and healing,Olympian,Benevolent,"The god of medicine, healing, and physicians. Asclepius possessed such extraordinary healing abilities that he could even restore the dead to life, challenging the natural boundary between mortality and immortality.\n\nSon of Apollo and the mortal Coronis, Asclepius was rescued from his mother's funeral pyre by his father and raised by the centaur Chiron, who taught him the healing arts. His skills surpassed all others—he could cure any disease and even resurrected several mortals from death. This last ability enraged Hades, who complained to Zeus that Asclepius was disrupting the natural order. Zeus struck down Asclepius with a thunderbolt, but later granted him immortality and placed him among the stars as the constellation Ophiuchus (the Serpent Bearer). His cult centreed at Epidaurus became the most important healing sanctuary in Greece, where patients would sleep in his temple hoping for healing dreams. The rod of Asclepius, a snake-entwined staff, remains the symbol of medicine today."
Apollo,Orpheus,Music and poetry,Hero,Benevolent,"The legendary musician and poet whose songs could charm all living things and even move stones and trees. Orpheus was the greatest mortal musician who ever lived, his lyre playing rivaling even the gods in beauty and power.\n\nSon of Apollo and the Muse Calliope, Orpheus inherited divine musical talent that made him famous throughout Greece. When his beloved wife Eurydice died from a serpent's bite, his grief was so profound that he descended into the underworld itself to reclaim her. His music softened the hearts of Hades and Persephone, who agreed to let Eurydice return on one condition: he must not look back at her until they reached the surface. Tragically, at the last moment, Orpheus turned to ensure she followed, and Eurydice vanished back into death forever. Heartbroken, Orpheus spurned all other love until he was torn apart by Maenads. Even severed, his head continued to sing as it floated down the river, and his lyre was placed among the stars."
Apollo,Aristaeus,Beekeeping and agriculture,Hero,Benevolent,"The rustic hero and minor god who taught humanity the arts of beekeeping, cheese-making, and olive cultivation. Aristaeus was the patron of rural crafts and agricultural innovations that sustained civilisation.\n\nSon of Apollo and the nymph Cyrene, Aristaeus was raised by nymphs and centaurs who taught him useful arts. He travelled throughout Greece teaching mortals how to cultivate olives, raise bees for honey, and make cheese—skills that became fundamental to Greek agriculture. However, his pursuit of Eurydice led to her fatal snakebite as she fled from him, and in revenge, the nymphs destroyed his bees. To atone, he sacrificed cattle to the nymphs, and from the carcasses emerged new swarms of bees, discovering the ancient belief in spontaneous generation. Despite his connection to Orpheus's tragedy, Aristaeus was widely honoured as a beneficent hero who brought essential agricultural knowledge to humanity, earning worship throughout the Mediterranean as a guardian of flocks and crops."
Apollo,Troilus,Youth,Hero,Neutral,"The youngest prince of Troy whose tragic death at the hands of Achilles became an omen of the city's fall. Troilus embodied youth cut short by war's brutality and the cruel fate of Troy.\n\nSon of Apollo (or King Priam in some accounts) and Queen Hecuba, Troilus was a beautiful youth beloved by the gods. An oracle prophesied that Troy could not fall if Troilus reached the age of twenty, making him a strategic target for the Greeks. During the Trojan War, Achilles ambushed the young prince while he was exercising horses at a fountain outside the city walls and brutally killed him despite Troilus seeking sanctuary in Apollo's temple. Some versions describe Achilles beheading him on the altar itself, an act of impiety that enraged Apollo and contributed to the god's role in Achilles's eventual death. Troilus's murder, portrayed as particularly cruel and dishonourable, symbolised the loss of innocence in war and foreshadowed Troy's ultimate destruction."
Apollo,Linus,Music,Hero,Neutral,"The celebrated musician and poet who became the music teacher of heroes, including the young Heracles. Linus was renowned for his musical skill and his tragic early death that inspired the ancient Greek lament songs.\n\nSon of Apollo and a Muse (various accounts name different mothers), Linus inherited his father's musical genius and became a master of the lyre and song. He taught music to many heroes, including Heracles, who proved to be a difficult student. When Linus scolded or struck the young Heracles for playing poorly, the boy flew into a rage and killed his teacher with his own lyre, an incident that demonstrated both Heracles's ungovernable temper and Linus's tragic fate. The ""Linus song"" or ""Ailinos"" became a traditional Greek dirge, a mournful melody sung at harvest time, commemorating his untimely death. His name became synonymous with lamentation itself, embodying the Greek recognition that even divine gifts like music carry mortal fragility."
Apollo,Hymenaios,Marriage ceremonies,Olympian,Benevolent,"The god of marriage ceremonies and the wedding hymn. Hymenaios personified the joyous songs and rituals that sanctified the union of bride and groom.\n\nSon of Apollo and a Muse (the specific Muse varies by account), Hymenaios was associated with the wedding song sung during ancient Greek marriage ceremonies. According to myth, he was a beautiful youth who either died on his wedding night or disappeared while singing at a wedding, and was thereafter invoked at every marriage ceremony to ensure happiness. His name became the ritual cry ""Hymen! Hymenaios!"" chanted during wedding processions. Hymenaios represented the sacred transition from maidenhood to married life, embodying both the joy and solemnity of matrimonial vows. His presence at weddings was considered essential for a blessed and harmonious union."
Apollo,Cassandra,Prophecy,Hero,Neutral,"The tragic prophetess of Troy cursed to speak truth that no one would believe. Cassandra possessed the gift of prophecy but suffered the curse of eternal disbelief, making her warnings of Troy's doom fall on deaf ears.\n\nDaughter of King Priam and Queen Hecuba (though some accounts make Apollo her father), Cassandra received prophetic powers from Apollo who desired her love. When she accepted his gift but refused his advances, the god cursed her so that while her prophecies would always be true, no one would ever believe them. She foresaw Troy's destruction, warned against bringing the Trojan Horse into the city, and predicted countless disasters, but was dismissed as mad. After Troy's fall, she was claimed as a war prize by Agamemnon and brought to Mycenae, where she foresaw their murders by Clytemnestra but could not prevent them. Her tragic fate embodied the helplessness of knowing the future yet being powerless to change it, making her name synonymous with ignored warnings and the frustration of unheeded truth."
Apollo,Circe,Magic and transformation,Hero,Chaotic,"The powerful enchantress who ruled the island of Aeaea and transformed men into animals with her magic potions. Circe was one of the most formidable sorceresses in Greek mythology, feared for her transformative powers and seductive nature.\n\nDaughter of Helios (or Apollo in some traditions) and the Oceanid Perse, Circe mastered pharmakeia—the magical art of potions and herbs. When Odysseus's men landed on her island, she turned them into swine with her wand and drugged wine. Only Odysseus, protected by the herb moly given by Hermes, resisted her magic and forced her to restore his crew. She became his lover for a year, bearing him sons, and provided crucial advice for his journey including how to navigate between Scylla and Charybdis. Circe also transformed Scylla into a monster out of jealous rage and turned King Picus into a woodpecker when he spurned her advances. Her island became a place of both danger and transformation, where she wielded magic that could reduce proud men to beasts or grant them wisdom for their voyages."
Apollo,Pythia,Oracles,Hero,Benevolent,"The high priestess of Apollo at Delphi who served as the most important oracle in ancient Greece. The Pythia was the mortal vessel through which Apollo spoke prophecies that shaped the destiny of kingdoms and heroes.\n\nChosen from among the women of Delphi, the Pythia would enter Apollo's temple, sit upon the sacred tripod over a chasm, and inhale vapors that brought her into a prophetic trance. In this altered state, she would utter Apollo's cryptic pronouncements, which priests would then interpret into verse for those seeking guidance. Kings, generals, and common people alike journeyed to Delphi to consult the oracle on matters of war, colonisation, and personal fate. The Pythia's prophecies were famously ambiguous—like telling Croesus he would destroy a great empire, which turned out to be his own. Her role as Apollo's mouthpiece made her one of the most powerful and respected figures in Greece, bridging the mortal and divine realms through sacred prophecy."
Apollo,Sybil,Prophecy,Hero,Neutral,"The ancient prophetess who lived for a thousand years but forgot to ask for eternal youth along with long life. The Cumaean Sibyl was one of the most famous of Apollo's oracles, her prophecies written on leaves and preserved in the Sibylline Books.\n\nBlessed with prophetic powers by Apollo who loved her, the Sibyl asked to live as many years as grains of sand she held in her hand—but tragically neglected to request lasting youth. Apollo granted her wish, and she aged and withered over centuries, eventually shrinking so small that she was kept in a jar, her voice reduced to a whisper. When asked what she wanted, she replied only ""I want to die."" Despite her sad fate, her prophecies were highly valued; she guided Aeneas through the underworld and her Sibylline Books were consulted by Roman leaders in times of crisis. Her story became a cautionary tale about the careful wording of wishes and the burden of immortality without youth, showing that even divine gifts could become curses."
Artemis,No Children,Hunt and moon,Olympian,Benevolent,""
Ares,Harmonia,Harmony and concord,Olympian,Benevolent,"The goddess of harmony, concord, and marital unity. Harmonia represented the peaceful resolution of discord and the balance that emerges from opposing forces working together.\n\nBorn from the union of Ares and Aphrodite (or Zeus and Electra in some accounts), Harmonia symbolised the harmony that can arise from war and love's combination. She married Cadmus, the founder of Thebes, in a wedding attended by all the Olympian gods. However, her marriage was cursed when she received a poisoned necklace and robe from Hephaestus, angry at Aphrodite's affair with Ares. Despite the curse's tragic consequences for Thebes, Harmonia and Cadmus were eventually transformed into serpents and granted paradise in Elysium. Her name became the root of the word ""harmony,"" embodying the Greek ideal of balanced proportion and peaceful coexistence."
Ares,Deimos,Terror,Olympian,Malevolent,"The god of terror, dread, and the panic that grips warriors in battle. Deimos personified the paralysing fear that could turn brave soldiers into cowering victims on the battlefield.\n\nSon of Ares and Aphrodite, Deimos accompanied his father and twin brother Phobos into battle, spreading terror among enemy ranks. His very presence on the battlefield could cause armies to break formation and flee in panic. Ancient Greek warriors would invoke protection against Deimos before battle, and his image was often depicted on shields and armor to intimidate opponents. Together with Phobos, he represented the psychological warfare that accompanied physical combat, embodying the terror that could defeat an army before a single blow was struck."
Ares,Phobos,Fear,Olympian,Malevolent,"The god of fear, panic, and rout in battle. Phobos embodied the overwhelming dread that could cause even seasoned warriors to abandon their posts and flee in terror.\n\nSon of Ares and Aphrodite, Phobos rode alongside his father and twin brother Deimos into every conflict, instilling fear in the hearts of combatants. His name became the root of the word ""phobia,"" reflecting his role as the personification of paralysing fear. Warriors would paint his frightening visage on their shields to ward off enemies, and commanders invoked his name to demoralise opposing forces. Phobos represented the primal terror of warfare, the instinctive fear of death and injury that could overcome courage and training in the chaos of battle."
Ares,Adrestia,Revenge and balance,Olympian,Neutral,"The goddess of revolt, just retribution, and the balance between good and evil. Adrestia personified the equilibrium achieved through righteous revenge and the revolt against injustice.\n\nDaughter of Ares and Aphrodite, Adrestia served Nemesis, the goddess of divine retribution, ensuring that those who committed hubris received appropriate punishment. Her name means ""inescapable,"" reflecting the certainty that wrongdoing would be answered. Unlike her father's chaotic violence, Adrestia represented measured and justified retaliation that restored cosmic balance. She was invoked by those seeking revenge for legitimate grievances and symbolised the principle that justice sometimes requires forceful correction of wrongs. Her dual parentage from war and love embodied the Greek understanding that harmony sometimes emerges through conflict and necessary retribution."
Ares,Enyalios,War,Olympian,Malevolent,"The god of warfare and the battle cry, closely identified with Ares himself. Enyalios represented the fierce spirit of combat and the warrior's cry that preceded violent conflict.\n\nOften considered an epithet or aspect of Ares rather than a separate deity, Enyalios embodied the raw aggression and martial fury of battle. His name was invoked in war cries and battle hymns, summoning courage and ferocity in warriors. In Sparta, Enyalios was particularly honoured as a war god, with soldiers dedicating their weapons to him before battle. Some traditions portrayed him as Ares's son, while others treated him as synonymous with the war god himself. Either way, Enyalios represented the primal bloodlust and violent energy that characterised ancient Greek warfare at its most savage."
Ares,Alcippe,Vengeance,Hero,Neutral,"The Athenian princess whose assault sparked the first murder trial in Greek mythology and established the Areopagus court. Alcippe became a symbol of justice for victims of violence and the divine protection of innocence.\n\nDaughter of Ares and Aglaulus, Alcippe was attacked by Halirrhothius, son of Poseidon, near a sacred spring on the Acropolis. Her father Ares, discovering the assault, immediately killed Halirrhothius in defence of his daughter's honour. This act led to the establishment of the Areopagus, where Ares was tried and acquitted by the assembled gods, who ruled his killing justified. Alcippe's case became the foundational myth for Athens's homicide court, establishing the legal principle that violence in defence of family honour could be excused. Her story demonstrated that even the gods recognised the sanctity of bodily autonomy and the right to protect loved ones from violation, making her a powerful symbol in Greek legal tradition."
Aphrodite,Eros,Love and attraction,Olympian,Neutral,"The god of love, desire, and erotic passion. Unlike the primordial Eros who emerged from Chaos, this younger Olympian Eros served as Aphrodite's constant companion and agent, wielding his bow and arrows to inspire love and desire.\n\nSon of Aphrodite and Ares (in most traditions), Eros possessed the power to make gods and mortals fall passionately in love with a single arrow shot. His golden arrows inspired love, while his leaden arrows caused aversion. Despite his cherubic depictions in later art, Greek Eros was a powerful and sometimes mischievous deity who could cause both joy and suffering through his manipulations of desire. His most famous myth involves his love for Psyche, whom he married but forbade to look upon him, leading to trials that tested their devotion. Eros embodied the irrational, overwhelming force of romantic and sexual attraction."
Aphrodite,Himeros,Desire,Olympian,Neutral,"The god of sexual desire and longing, personifying the intense yearning for physical intimacy. Himeros embodied the passionate craving that compels attraction and pursuit.\n\nSon or companion of Aphrodite, Himeros was closely associated with Eros and often accompanied the goddess of love in her works. While Eros represented love's emotional and romantic aspects, Himeros specifically embodied the physical desire and lustful longing that accompanies attraction. His name derives from the Greek word for desire and longing. He was frequently depicted attending Aphrodite's arrival from the sea or accompanying her in scenes of seduction. Himeros represented the irresistible pull of physical passion, the hunger that drives mortals and immortals alike to seek union with objects of their desire."
Aphrodite,Anteros,Reciprocal love,Olympian,Neutral,"The god of reciprocal love and the avenger of unrequited love. Anteros represented the mutual affection between lovers and punished those who spurned the love offered to them.\n\nBrother to Eros, Anteros embodied love returned and the principle that affection should be mutual. When Aphrodite worried that Eros remained small and childlike, she was told he would only grow if he had a brother, thus Anteros was born. He served as both Eros's companion and counterbalance—where Eros inspired initial passion, Anteros ensured that love was reciprocated. He punished those who rejected genuine love with the same suffering they inflicted on their would-be lovers. Anteros represented the Greek ideal that love should be balanced and mutual, not one-sided exploitation or indifference."
Aphrodite,Harmonia,Harmony and concord,Olympian,Benevolent,"The goddess of harmony, concord, and marital unity. Harmonia represented the peaceful resolution of discord and the balance that emerges from opposing forces working together.\n\nBorn from the union of Ares and Aphrodite (or Zeus and Electra in some accounts), Harmonia symbolised the harmony that can arise from war and love's combination. She married Cadmus, the founder of Thebes, in a wedding attended by all the Olympian gods. However, her marriage was cursed when she received a poisoned necklace and robe from Hephaestus, angry at Aphrodite's affair with Ares. Despite the curse's tragic consequences for Thebes, Harmonia and Cadmus were eventually transformed into serpents and granted paradise in Elysium. Her name became the root of the word ""harmony,"" embodying the Greek ideal of balanced proportion and peaceful coexistence."
Aphrodite,Phobos,Fear,Olympian,Malevolent,"The god of fear, panic, and rout in battle. Phobos embodied the overwhelming dread that could cause even seasoned warriors to abandon their posts and flee in terror.\n\nSon of Ares and Aphrodite, Phobos rode alongside his father and twin brother Deimos into every conflict, instilling fear in the hearts of combatants. His name became the root of the word ""phobia,"" reflecting his role as the personification of paralysing fear. Warriors would paint his frightening visage on their shields to ward off enemies, and commanders invoked his name to demoralise opposing forces. Phobos represented the primal terror of warfare, the instinctive fear of death and injury that could overcome courage and training in the chaos of battle."
Aphrodite,Deimos,Terror,Olympian,Malevolent,"The god of terror, dread, and the panic that grips warriors in battle. Deimos personified the paralysing fear that could turn brave soldiers into cowering victims on the battlefield.\n\nSon of Ares and Aphrodite, Deimos accompanied his father and twin brother Phobos into battle, spreading terror among enemy ranks. His very presence on the battlefield could cause armies to break formation and flee in panic. Ancient Greek warriors would invoke protection against Deimos before battle, and his image was often depicted on shields and armor to intimidate opponents. Together with Phobos, he represented the psychological warfare that accompanied physical combat, embodying the terror that could defeat an army before a single blow was struck."
Aphrodite,Priapus,Fertility,Olympian,Neutral,"The rustic god of fertility, gardens, livestock, and male genitalia. Priapus was known for his permanent erection and his role as protector of gardens, vineyards, and flocks.\n\nSon of Aphrodite and Dionysus (or Hermes in some accounts), Priapus was born grotesquely deformed with enormous genitals, possibly cursed by Hera in revenge against Aphrodite. Rejected by the Olympians due to his appearance, Priapus found his place among rustic deities, becoming a patron of fertility and abundance. Farmers placed wooden statues of him in gardens and fields, believing his exaggerated masculinity would ensure bountiful harvests and protect crops from thieves and pests. Despite his comical appearance in art and literature, Priapus was seriously worshipped as a powerful fertility deity, embodying the generative forces of nature and agricultural prosperity."
Aphrodite,Aeneas,Hero,Demigod,Benevolent,"The Trojan hero who escaped the fall of Troy and became the legendary founder of Rome. Aeneas embodied pietas—duty to gods, family, and destiny—making him the ideal of the pious hero who places obligation above personal desire.\n\nSon of Aphrodite and the Trojan prince Anchises, Aeneas was a formidable warrior who fought valiantly during the Trojan War. When Troy fell, he carried his elderly father on his back and led a band of survivors to safety, an image that became iconic of filial devotion. His mother guided him through years of wandering across the Mediterranean, facing trials from Carthage to Sicily. Despite his love for Queen Dido of Carthage, Aeneas abandoned her to fulfil his destiny, causing her tragic suicide. He eventually reached Italy where his descendants Romulus and Remus would found Rome. Aeneas represented the ideal Roman virtues of duty, perseverance, and sacrifice for a greater purpose, making him a bridge between Greek and Roman mythology."
Aphrodite,Peitho,Persuasion,Olympian,Neutral,"The goddess of persuasion, seduction, and charming speech. Peitho wielded the power of convincing words and subtle influence, making her essential to both romantic conquest and political rhetoric.\n\nDaughter or constant companion of Aphrodite, Peitho represented the persuasive arts that win hearts and change minds. She attended Aphrodite in matters of love, using honeyed words to seduce and convince. In Athens, Peitho was also honoured as a civic deity associated with democratic persuasion and political rhetoric, demonstrating the connection between romantic seduction and political influence. Her powers made her invaluable to lovers, orators, and diplomats alike. Peitho embodied the understanding that force is often less effective than subtle persuasion, and that words wielded skillfully can accomplish what violence cannot."
Aphrodite,The Graces,Beauty and charm,Olympian,Benevolent,"The three goddesses of grace, beauty, charm, and human creativity. The Graces (Charites) personified everything that makes life beautiful and delightful, from physical beauty to artistic elegance and social grace.\n\nThe three sisters—Aglaea (Splendor), Euphrosyne (Mirth), and Thalia (Good Cheer)—attended Aphrodite and accompanied the Muses, connecting physical beauty with artistic inspiration. They presided over banquets, dances, and social gatherings, bestowing charm and elegance on mortals and gods. The Graces represented the refinement and joy that elevated human existence beyond mere survival. They adorned Aphrodite, crafted jewellery for the gods, and inspired artists and poets. Their presence at celebrations ensured enjoyment and harmony, while their absence left events dull and graceless. The Graces embodied the Greek appreciation for beauty, proportion, and the cultivation of joy in life."
Hermes,Pan,Wild nature,Olympian,Neutral,"The god of the wild, shepherds, flocks, rustic music, and mountain wilds. Pan possessed the hindquarters, legs, and horns of a goat, embodying the untamed spirit of wilderness and pastoral life.\n\nSon of Hermes and a nymph, Pan dwelt in Arcadia where he pursued nymphs, played his syrinx (pan pipes), and watched over shepherds and their flocks. His sudden appearance could cause ""panic""—a word derived from his name—the unreasoning terror that gripped travellers in lonely wild places. Despite his lustful nature and frightening aspects, Pan was generally benevolent to those who respected the wilderness. He aided the Athenians at the Battle of Marathon by spreading panic among the Persians. Pan's music on his reed pipes could bring joy or melancholy, and his wild nature represented the freedom and danger of untamed lands beyond civilisation."
Hermes,Autolycus,Thieves and deception,Hero,Neutral,"The master thief and trickster who could steal anything and make it unrecognizable through his shape-shifting magic. Autolycus was renowned as the craftiest mortal alive, inheriting his father Hermes's skills in deception and theft.\n\nSon of Hermes and Chione, Autolycus received from his father the ability to metamorphose stolen goods, making them impossible to identify and reclaim. He could turn white cattle black, horned cattle hornless, and completely transform any object he stole. His thefts were legendary, but he met his match in Sisyphus, who outwitted him by marking his cattle's hooves so he could track them. Despite his roguish nature, Autolycus passed on his cunning to his grandson Odysseus, whose cleverness and strategic thinking owed much to this ancestry. Autolycus represented the Greek appreciation for cleverness and resourcefulness, showing that intelligence and quick thinking could be as valuable as strength or courage, even when applied to less than noble pursuits."
Hermes,Evander,Culture and law,Hero,Neutral,"The civilising hero who brought Greek culture and law to Italy, founding the city that would precede Rome. Evander was a bridge between Greek and Roman civilisations, spreading Hellenic wisdom to the Italian peninsula.\n\nSon of Hermes and an Arcadian nymph, Evander fled Greece after killing his father and settled in Italy, where he founded the city of Pallantium on the future site of Rome. He introduced the Greek alphabet to Italy, established laws and religious rites, and taught the natives agriculture and civilised customs. When Aeneas arrived in Italy, Evander welcomed him as an ally and his son Pallas joined the Trojan hero's cause, though Pallas was tragically slain by Turnus. Evander's peaceful rule and cultural contributions made him a legendary figure in pre-Roman Italy, representing the civilising influence of Greek culture and the peaceful transmission of knowledge that could transform barbarous lands into centres of law and learning."
